종목코드,종목명,최종종가,만기평가가격,행사가격,전환비율,LP명,LP보유수량,상장일,최종거래일,상장폐지일,만기일,지급일,권리행사구분,기초자산명,CALL/PUT
"58J684","KBJ684네이버콜","10","170920","204500","0.002","KB증권","13330040","2023/07/19","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","NAVER","콜"
"58J717","KBJ717SK텔레콤콜","35","51360","50000","0.020","KB증권","9999990","2023/07/19","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","SK텔레콤","콜"
"58J722","KBJ722케이티콜","120","36780","30000","0.020","KB증권","10499990","2023/07/19","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","KT","콜"
"58J729","KBJ729케이티지콜","15","86300","88500","0.010","KB증권","10499990","2023/07/19","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","KT&G","콜"
"58J730","KBJ730삼성물산콜","250","135100","109500","0.005","KB증권","12499980","2023/07/19","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성물산","콜"
"58J731","KBJ731삼성물산풋","10","135100","98700","0.005","KB증권","25696360","2023/07/19","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성물산","풋"
"58J817","KBJ817엘지전자풋","15","99760","93300","0.005","KB증권","21999990","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG전자","풋"
"58J839","KBJ839삼성바이풋","10","740800","733000","0.001","KB증권","22999780","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성바이오로직스","풋"
"58J845","KBJ845신한지주풋","45","46850","31600","0.020","KB증권","28999990","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","신한지주","풋"
"58J920","KBJ920KOSPI200콜","415","374.8","368","100.000","KB증권","9923910","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58J921","KBJ921KOSPI200콜","675","374.8","370","100.000","KB증권","9844590","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58J922","KBJ922KOSPI200콜","335","374.8","372","100.000","KB증권","9749920","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58J923","KBJ923KOSPI200콜","115","374.8","375","100.000","KB증권","9586510","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58J924","KBJ924KOSPI200콜","10","374.8","378","100.000","KB증권","8973460","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58J925","KBJ925KOSPI200풋","5","374.8","308","100.000","KB증권","12493000","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58J926","KBJ926KOSPI200풋","35","374.8","310","100.000","KB증권","12499790","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58J927","KBJ927KOSPI200풋","5","374.8","312","100.000","KB증권","12499700","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58J928","KBJ928KOSPI200풋","10","374.8","315","100.000","KB증권","11997660","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58J929","KBJ929KOSPI200풋","10","374.8","318","100.000","KB증권","11999130","2023/08/29","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58J997","KBJ997POSCO홀풋","95","379100","463000","0.001","KB증권","15499980","2023/10/30","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","POSCO홀딩스","풋"
"58JA02","KBJA02SK하이닉콜","290","213000","130500","0.005","KB증권","12699990","2023/10/30","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","SK하이닉스","콜"
"58JA04","KBJA04SK하이닉풋","10","213000","116000","0.005","KB증권","13594660","2023/10/30","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","SK하이닉스","풋"
"58JA23","KBJA23현대차풋","60","268500","173000","0.005","KB증권","15699990","2023/10/30","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","현대차","풋"
"58JA36","KBJA36삼성중풋","20","9190","6700","0.100","KB증권","11381980","2023/10/30","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성중공업","풋"
"58JA59","KBJA59하나금융콜","220","59940","47500","0.020","KB증권","10899990","2023/10/30","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","하나금융지주","콜"
"58JA73","KBJA73한국조선풋","20","133960","90700","0.005","KB증권","19699980","2023/10/30","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","HD한국조선해양","풋"
"58JA83","KBJA83S-OIL풋","15","66840","65700","0.010","KB증권","15699990","2023/10/30","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","S-Oil","풋"
"58JB48","KBJB48KOSPI200풋","60","374.8","288","100.000","KB증권","12999100","2023/10/30","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JB49","KBJB49KOSPI200풋","5","374.8","290","100.000","KB증권","12999880","2023/10/30","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JB50","KBJB50KOSPI200풋","65","374.8","292","100.000","KB증권","12999800","2023/10/30","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JB51","KBJB51KOSPI200풋","10","374.8","302","100.000","KB증권","12499990","2023/10/30","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JC74","KBJC74삼성전자콜","5","76660","71000","0.010","KB증권","13499880","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성전자","콜"
"58JC82","KBJC82SK하이닉풋","10","213000","126000","0.005","KB증권","11499690","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","SK하이닉스","풋"
"58JC97","KBJC97현대차콜","450","268500","173000","0.005","KB증권","9580050","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","현대차","콜"
"58JC98","KBJC98현대차풋","20","268500","156500","0.005","KB증권","20499990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","현대차","풋"
"58JD03","KBJD03기아풋","15","121740","69900","0.010","KB증권","18999990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","기아","풋"
"58JD08","KBJD08삼성중콜","135","9190","8000","0.100","KB증권","10681060","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성중공업","콜"
"58JD13","KBJD13현대로템풋","40","37860","22600","0.020","KB증권","16499990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","현대로템","풋"
"58JD32","KBJD32하나금융풋","45","59940","36300","0.020","KB증권","16999990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","하나금융지주","풋"
"58JD36","KBJD36삼성E&A풋","15","22790","22000","0.020","KB증권","16199990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성엔지니어링","풋"
"58JD37","KBJD37신한지주콜","60","46850","35600","0.020","KB증권","11799990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","신한지주","콜"
"58JD41","KBJD41NC소프트콜","25","188540","263500","0.002","KB증권","11499990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","엔씨소프트","콜"
"58JD43","KBJD43SK텔레콤풋","15","51360","47900","0.020","KB증권","12999990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","SK텔레콤","풋"
"58JD46","KBJD46S-OIL콜","20","66840","72000","0.010","KB증권","12099990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","S-Oil","콜"
"58JD48","KBJD48우리금융콜","65","14124","12900","0.050","KB증권","15899990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","우리금융지주","콜"
"58JE14","KBJE14KOSPI200콜","1350","374.8","355","100.000","KB증권","10499890","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58JE15","KBJE15KOSPI200콜","1095","374.8","358","100.000","KB증권","10999750","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58JE16","KBJE16KOSPI200콜","810","374.8","360","100.000","KB증권","10998280","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58JE17","KBJE17KOSPI200콜","935","374.8","362","100.000","KB증권","11496530","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58JE18","KBJE18KOSPI200콜","630","374.8","365","100.000","KB증권","11496330","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58JE19","KBJE19KOSPI200풋","10","374.8","280","100.000","KB증권","11499990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JE20","KBJE20KOSPI200풋","15","374.8","282","100.000","KB증권","11499890","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JE21","KBJE21KOSPI200풋","20","374.8","285","100.000","KB증권","10998400","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JE22","KBJE22KOSPI200풋","20","374.8","295","100.000","KB증권","10999330","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JE23","KBJE23KOSPI200풋","45","374.8","298","100.000","KB증권","10999990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JE24","KBJE24KOSPI200풋","10","374.8","300","100.000","KB증권","10999990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JE25","KBJE25KOSPI200풋","100","374.8","305","100.000","KB증권","9999990","2023/11/27","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JE49","KBJE49현대차콜","60","268500","201000","0.005","KB증권","12699990","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","현대차","콜"
"58JE52","KBJE52기아콜","185","121740","96000","0.010","KB증권","12899990","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","기아","콜"
"58JE57","KBJE57카카오콜","15","43440","53800","0.010","KB증권","13999990","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","카카오","콜"
"58JE63","KBJE63엘지전자풋","15","99760","89000","0.010","KB증권","10999990","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG전자","풋"
"58JE65","KBJE65하이브콜","20","199260","263500","0.002","KB증권","12699980","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","하이브","콜"
"58JE66","KBJE66삼성전기풋","15","150160","142000","0.005","KB증권","12499990","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성전기","풋"
"58JE82","KBJE82하나금융콜","70","59940","43100","0.020","KB증권","10999990","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","하나금융지주","콜"
"58JE91","KBJE91카카뱅크풋","45","22410","24500","0.020","KB증권","12694990","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","카카오뱅크","풋"
"58JE96","KBJE96NC소프트풋","45","188540","215000","0.002","KB증권","14998990","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","엔씨소프트","풋"
"58JF04","KBJF04메리츠금풋","10","74440","55000","0.010","KB증권","14199990","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","메리츠금융지주","풋"
"58JF05","KBJF05메리츠금콜","70","74440","65000","0.010","KB증권","12699990","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","메리츠금융지주","콜"
"58JF42","KBJF42KOSPI200콜","2345","374.8","340","100.000","KB증권","3999870","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58JF43","KBJF43KOSPI200콜","2275","374.8","342","100.000","KB증권","4499680","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58JF44","KBJF44KOSPI200콜","1670","374.8","345","100.000","KB증권","7499800","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58JF45","KBJF45KOSPI200콜","2015","374.8","348","100.000","KB증권","9999590","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58JF46","KBJF46KOSPI200콜","1745","374.8","350","100.000","KB증권","9999580","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58JF47","KBJF47KOSPI200콜","1595","374.8","352","100.000","KB증권","9999890","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58JF48","KBJF48KOSPI200풋","10","374.8","320","100.000","KB증권","11498970","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JF49","KBJF49KOSPI200풋","15","374.8","322","100.000","KB증권","10999260","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JF50","KBJF50KOSPI200풋","10","374.8","325","100.000","KB증권","10999990","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JF51","KBJF51KOSPI200풋","15","374.8","328","100.000","KB증권","10499970","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JF52","KBJF52KOSPI200풋","10","374.8","330","100.000","KB증권","7999790","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JF53","KBJF53KOSPI200풋","25","374.8","332","100.000","KB증권","7999910","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JF54","KBJF54KOSPI200풋","15","374.8","335","100.000","KB증권","4499710","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58JF55","KBJF55KOSPI200풋","30","374.8","338","100.000","KB증권","2939880","2023/12/28","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58K006","KBK006삼성전자풋","20","76660","78200","0.010","KB증권","14999980","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성전자","풋"
"58K009","KBK009SK하이닉콜","95","213000","146000","0.005","KB증권","12899990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","SK하이닉스","콜"
"58K017","KBK017삼성SDI풋","25","393900","400500","0.002","KB증권","11799870","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성SDI","풋"
"58K018","KBK018LG에너지콜","15","356600","462000","0.002","KB증권","8899990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG에너지솔루션","콜"
"58K022","KBK022LG에너지풋","120","356600","399500","0.002","KB증권","9099990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG에너지솔루션","풋"
"58K023","KBK023LG화학콜","15","373200","502000","0.002","KB증권","7799980","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG화학","콜"
"58K024","KBK024LG화학풋","110","373200","434500","0.002","KB증권","12499990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG화학","풋"
"58K026","KBK026네이버콜","25","170920","234500","0.002","KB증권","20499990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","NAVER","콜"
"58K039","KBK039현대차콜","270","268500","183500","0.005","KB증권","9299990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","현대차","콜"
"58K041","KBK041카카오콜","15","43440","60600","0.010","KB증권","16499990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","카카오","콜"
"58K044","KBK044SK이노풋","70","103600","120500","0.005","KB증권","13599990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","SK이노베이션","풋"
"58K046","KBK046HMM풋","20","17908","18500","0.020","KB증권","19699990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","HMM","풋"
"58K047","KBK047엘지전자콜","5","99760","107500","0.010","KB증권","11200000","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG전자","콜"
"58K049","KBK049하이브콜","30","199260","280000","0.002","KB증권","13599990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","하이브","콜"
"58K050","KBK050하이브풋","65","199260","232000","0.002","KB증권","15699840","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","하이브","풋"
"58K053","KBK053유한양행콜","65","77000","73200","0.010","KB증권","11998000","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","유한양행","콜"
"58K054","KBK054유한양행풋","15","77000","59400","0.010","KB증권","15199990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","유한양행","풋"
"58K056","KBK056한화솔루풋","70","31750","33400","0.020","KB증권","10899990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","한화솔루션","풋"
"58K060","KBK060하나금융콜","270","59940","41500","0.020","KB증권","9699990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","하나금융지주","콜"
"58K070","KBK070LG생건콜","70","403900","372000","0.002","KB증권","11299990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG생활건강","콜"
"58K092","KBK092고려아연풋","15","492700","439000","0.002","KB증권","12399990","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","고려아연","풋"
"58K116","KBK116KOSPI200콜","5","374.8","380","100.000","KB증권","7149540","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58K117","KBK117KOSPI200콜","5","374.8","382","100.000","KB증권","9053050","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58K118","KBK118KOSPI200콜","5","374.8","385","100.000","KB증권","9735980","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58K119","KBK119KOSPI200콜","15","374.8","388","100.000","KB증권","10242460","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58K120","KBK120KOSPI200콜","10","374.8","390","100.000","KB증권","10845310","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58K121","KBK121KOSPI200콜","5","374.8","392","100.000","KB증권","11296560","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58K122","KBK122KOSPI200콜","5","374.8","395","100.000","KB증권","10669120","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58K123","KBK123KOSPI200콜","5","374.8","398","100.000","KB증권","11559490","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58K124","KBK124KOSPI200콜","10","374.8","400","100.000","KB증권","11182690","2024/01/24","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","콜"
"58K169","KBK169삼성전자풋","55","76660","82800","0.010","KB증권","9999990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성전자","풋"
"58K170","KBK170SK하이닉콜","205","213000","134500","0.005","KB증권","12399990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","SK하이닉스","콜"
"58K172","KBK172SK하이닉풋","15","213000","146000","0.005","KB증권","9999970","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","SK하이닉스","풋"
"58K175","KBK175POSCO홀콜","10","373900","449000","0.002","KB증권","8000000","2024/02/23","2024/06/03","2024/06/04","2024/06/05","2024/06/10","유럽형","POSCO홀딩스","콜"
"58K177","KBK177POSCO홀풋","65","379100","422500","0.002","KB증권","11999990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","POSCO홀딩스","풋"
"58K178","KBK178포스코퓨풋","15","281900","238500","0.002","KB증권","12699990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","포스코퓨처엠","풋"
"58K179","KBK179삼성SDI콜","30","393900","393000","0.002","KB증권","8899990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성SDI","콜"
"58K182","KBK182LG에너지콜","15","356600","372500","0.002","KB증권","7899940","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG에너지솔루션","콜"
"58K184","KBK184LG에너지풋","40","356600","364500","0.002","KB증권","12499990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG에너지솔루션","풋"
"58K186","KBK186LG화학콜","15","373200","470000","0.002","KB증권","9097490","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG화학","콜"
"58K187","KBK187LG화학풋","130","373200","489000","0.002","KB증권","7099990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG화학","풋"
"58K194","KBK194기아풋","15","121740","108000","0.005","KB증권","30499990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","기아","풋"
"58K195","KBK195셀트리온콜","5","188680","204000","0.005","KB증권","9374990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","셀트리온","콜"
"58K202","KBK202SK이노풋","45","103600","112000","0.005","KB증권","17499990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","SK이노베이션","풋"
"58K204","KBK204HMM콜","15","17908","20900","0.050","KB증권","6999990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","HMM","콜"
"58K210","KBK210삼성전기콜","40","150160","146000","0.005","KB증권","13199990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성전기","콜"
"58K213","KBK213한화솔루콜","25","31750","36100","0.020","KB증권","9999990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","한화솔루션","콜"
"58K217","KBK217두산에너풋","10","19460","14400","0.050","KB증권","14998930","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","두산에너빌리티","풋"
"58K220","KBK220한화오션콜","170","30900","24500","0.020","KB증권","13499990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","한화오션","콜"
"58K228","KBK228하나금융풋","20","59940","50400","0.010","KB증권","21300000","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","하나금융지주","풋"
"58K229","KBK229하나금융풋","10","59940","54800","0.010","KB증권","19699660","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","하나금융지주","풋"
"58K231","KBK231LG이노텍콜","65","241900","203500","0.005","KB증권","8499990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG이노텍","콜"
"58K237","KBK237삼성물산풋","70","138020","134000","0.005","KB증권","13300000","2024/02/23","2024/05/30","2024/05/31","2024/06/03","2024/06/05","유럽형","삼성물산","풋"
"58K247","KBK247SKC풋","30","167700","73000","0.010","KB증권","10999990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","SKC","풋"
"58K252","KBK252한국항공콜","15","51440","53700","0.020","KB증권","11299990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","한국항공우주","콜"
"58K255","KBK255SK콜","25","184720","205000","0.005","KB증권","9999990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","SK","콜"
"58K257","KBK257메리츠금콜","55","74440","71700","0.010","KB증권","10499990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","메리츠금융지주","콜"
"58K267","KBK267에코비엠풋","40","213900","206100","0.002","KB증권","14499990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","에코프로비엠","풋"
"58K268","KBK268에코비엠콜","25","213900","248900","0.002","KB증권","11692990","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","에코프로비엠","콜"
"58K269","KBK269알테오젠풋","10","270000","68800","0.010","KB증권","8694540","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","알테오젠","풋"
"58K270","KBK270KOSPI200풋","35","374.8","340","100.000","KB증권","10938090","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58K271","KBK271KOSPI200풋","55","374.8","342","100.000","KB증권","10489190","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58K272","KBK272KOSPI200풋","10","374.8","345","100.000","KB증권","9827880","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58K273","KBK273KOSPI200풋","25","374.8","348","100.000","KB증권","9474860","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58K274","KBK274KOSPI200풋","5","374.8","350","100.000","KB증권","9428490","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58K275","KBK275KOSPI200풋","10","374.8","352","100.000","KB증권","5313480","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58K276","KBK276KOSPI200풋","15","374.8","355","100.000","KB증권","4789020","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58K277","KBK277KOSPI200풋","10","374.8","358","100.000","KB증권","4779020","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58K278","KBK278KOSPI200풋","10","374.8","360","100.000","KB증권","4001240","2024/02/23","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","코스피 200","풋"
"58K316","KBK316POSCO홀콜","10","379100","423500","0.002","KB증권","7599990","2024/03/20","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","POSCO홀딩스","콜"
"58K320","KBK320삼성SDI콜","145","393900","350000","0.002","KB증권","7099990","2024/03/20","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","삼성SDI","콜"
"58K322","KBK322LG에너지콜","15","356600","412000","0.002","KB증권","12898000","2024/03/20","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG에너지솔루션","콜"
"58K324","KBK324LG화학콜","20","373200","419000","0.002","KB증권","6688500","2024/03/20","2024/06/13","2024/06/14","2024/06/17","2024/06/19","유럽형","LG화학","콜"
